Results/1__fc_1024__10000__1.000000__50.000000_0.000000_0.000000_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__50.000000_0.000000_0.000000_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__50.000000_0.000000_0.000000_0.000000___#2.txt 
1909,138481,1084
3916,260032,2023
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
3968,261632,2048
